OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ADDRESS,ADDRID,X,Y,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,WARD,ZIPCODE,SMD,ANC,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,LONGITUDE,LATITUDE,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING
65,ABRA-001750,Decarlos Restaurant,"Spring Valley Enterprises, Inc.",C,4822 YUMA ST NW,302418,391727.3,142028.47,Active,Restaurant,,,,CHECKED,,,,Ward 3,20016,SMD 3E02,ANC 3E,,,,,,-77.09543099,38.94611252,199,,
66,ABRA-001792,Folger Shakespeare Library,Trustees of Amherst College,C,201 EAST CAPITOL ST SE,278034,399759.9,135732.29,Active,Multipurpose,,,,,,,,Ward 6,20003,SMD 6B01,ANC 6B,,,,,,-77.00276751,38.88943338,,,
67,ABRA-001845,Chalin's Restaurant,"C T Chiang of Washington, Inc.",C,1912 I ST NW,300940,396178.56,137037.03,Active,Restaurant,,,,,,,,Ward 2,20006,SMD 2B06,ANC 2B,,,,,,-77.04405503,38.90117869,96,,
68,ABRA-001926,Potomac Wines And Spirits,"Gabriel, Inc.",A,3100 M ST NW,273837,394681.77,137461.07,Active,Retail - Liquor Store,,,,,,CHECKED,,Ward 2,20007,SMD 2E05,ANC 2E,,,CHECKED,,,-77.06131388,38.90499081,,,
69,ABRA-002109,Kusa Market,Sook C. Kim,B,3108 GEORGIA AVE NW,232889,397953.74,140168.94,Active,Retail - Grocery,,,,,,,,Ward 1,20010,SMD 1A10,ANC 1A,,,,,,-77.02359941,38.92939756,,,
70,ABRA-003618,Filomena,"Georgetown Restaurant, Corp.",C,1063 WISCONSIN AVE NW,273828,394582.83,137394.52,Active,Restaurant,,,,,,,,Ward 2,20007,SMD 2E05,ANC 2E,,,,,,-77.06245403,38.9043907,199,,
71,ABRA-003664,Cafe Mozart,"Cafe Mozart, Inc.",C,1331 H ST NW,240648,397339.59,136963.38,Active,Restaurant,,CHECKED,,,,,,Ward 2,20005,SMD 2C01,ANC 2C,,,,,,-77.03066994,38.9005195,125,,
72,ABRA-003730,Calvert Woodley Wine & Liquor,"Woodley Wine & Liquor, Inc.",A,4339 CONNECTICUT AVE NW,220627,394479.37,141918.35,Active,Retail - Liquor Store,,,,,,CHECKED,,Ward 3,20008,SMD 3F02,ANC 3F,,,,,,-77.06368319,38.9451418,,,
73,ABRA-003815,Freedom Market,Freedom Market Inc,B,1901 NEW HAMPSHIRE AVE NW,241927,396757.91,138654.22,Active,Retail - Grocery,,,,,,,,Ward 2,20009,SMD 2B09,ANC 2B,,,,,,-77.03738369,38.91574888,,,
74,ABRA-005864,Raven Grill,Murray C Warren Inc,C,3125 MT PLEASANT ST NW,236407,396766.15,140169.91,Active,Tavern,,,,,,,,Ward 1,20010,SMD 1D04,ANC 1D,,,,,,-77.03729582,38.92940307,75,,
